SQL,cardinality
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id <= 70907;",6747781
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id <= 4 AND keyword_id = 148934;",73
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id >= 194423;",52841
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id <= 200760 AND kind_id != 7;",5787981
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id < 3 AND keyword_id > 221518;",13865
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id != 26067;",7419905
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id >= 233188 AND kind_id <= 7;",3583
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id >= 118063 AND kind_id < 8;",331753
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id != 8 AND keyword_id > 78150;",605064
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id < 7 AND keyword_id = 199138;",1
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id <= 8 AND keyword_id >= 27215;",1685169
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id < 4 AND keyword_id <= 204157;",4779204
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id > 853;",6433560
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id >= 6 AND keyword_id >= 26124;",526705
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id >= 104779;",391829
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id > 147617;",199339
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id > 11579 AND kind_id > 1;",1335189
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id < 65328;",6663219
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id > 2 AND keyword_id != 117184;",2993244
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id < 148337;",7229835
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id != 200570;",7419915
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id >= 153011;",159073
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id >= 4 AND keyword_id <= 21949;",1819719
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id = 197179 AND kind_id <= 3;",1
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id < 65625 AND kind_id >= 3;",2662611
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id >= 1 AND keyword_id > 161597;",124185
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id >= 111282;",363159
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id < 221317 AND kind_id != 6;",7262869
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id > 130966 AND kind_id != 2;",270279
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id = 3 AND keyword_id <= 140877;",375185
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id = 183547;",1
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id = 6 AND keyword_id <= 213247;",140118
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id = 1 AND keyword_id < 188663;",4062034
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id != 108563;",7419915
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id != 6 AND keyword_id < 92919;",6827372
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id > 98733;",432075
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id = 7 AND keyword_id != 188420;",1588636
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id < 118939;",7093021
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id = 223877;",1
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id = 198616;",1
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id >= 27755;",1657205
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id != 134671;",7419915
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id <= 6 AND keyword_id <= 36932;",4920200
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id <= 166528;",7310496
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id = 8459 AND kind_id >= 7;",68
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id = 201522 AND kind_id <= 1;",1
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id != 4 AND keyword_id >= 32728;",1293752
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id != 4 AND keyword_id < 48190;",5609752
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id != 176083 AND kind_id > 4;",1729449
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id != 24876;",7419842
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id < 27604 AND kind_id < 7;",4634127
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id <= 225943 AND kind_id <= 3;",4803565
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id <= 53203 AND kind_id <= 2;",3911933
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id != 35422;",7419909
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id = 8 AND keyword_id <= 75835;",1
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id >= 183372;",71474
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id != 9208;",7418132
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id = 153391 AND kind_id < 3;",31
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id > 1 AND keyword_id = 55249;",1
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id != 2 AND keyword_id < 10676;",4147085
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id > 163012 AND kind_id <= 8;",119587
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id != 31261 AND kind_id >= 7;",1588636
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id >= 7 AND keyword_id <= 194735;",1588637
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id <= 3 AND keyword_id != 117253;",4813865
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id != 2 AND keyword_id > 36190;",1260652
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id != 18293 AND kind_id > 7;",1
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id > 33762 AND kind_id <= 8;",1373377
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id <= 168765;",7316026
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id <= 1 AND keyword_id != 233517;",4114290
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id != 6 AND keyword_id <= 141128;",7059810
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id >= 15026 AND kind_id = 7;",663600
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id > 96118 AND kind_id < 4;",297053
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id <= 191735 AND kind_id >= 4;",2600578
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id <= 35530 AND kind_id != 4;",5343866
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id <= 126787;",7130174
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id > 13195;",2662299
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id != 91761 AND kind_id > 3;",2606048
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id >= 48594 AND kind_id > 2;",445939
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id >= 144678;",217140
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id != 120070 AND kind_id != 6;",7279099
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id != 222525 AND kind_id > 1;",3305625
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id != 132190 AND kind_id >= 4;",2606049
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id >= 176213;",85955
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id < 8 AND keyword_id = 123847;",1
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id > 94781;",457032
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id < 76180;",6795063
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id < 167931;",7314079
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id > 158805;",134150
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id <= 2 AND keyword_id >= 187863;",53428
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id <= 94307 AND kind_id = 4;",839546
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id != 215302;",7419915
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id <= 3 AND keyword_id != 154562;",4813864
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id != 33105;",7419908
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id != 10097;",7419471
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id > 6962 AND kind_id != 7;",2915667
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id > 69388;",703656
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id != 1 AND keyword_id > 195346;",7995
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id <= 20098;",5366669
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id < 112370 AND kind_id >= 6;",1652503
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id < 185430 AND kind_id > 7;",1
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id != 6 AND keyword_id > 4559;",4291825
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id <= 1 AND keyword_id <= 64040;",3699116
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id != 88795 AND kind_id = 8;",1
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id < 222833;",7405008
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id >= 4 AND keyword_id < 7362;",1170690
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id < 132090 AND kind_id != 7;",5587750
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id >= 2 AND keyword_id != 188643;",3305625
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id != 3 AND keyword_id > 142800;",211821
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id < 2 AND keyword_id = 94198;",4
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id >= 22394;",1937016
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id >= 202227;",41202
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id = 1 AND keyword_id >= 143743;",173556
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id != 97634 AND kind_id != 8;",7419905
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id <= 173680;",7328436
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id > 6 AND keyword_id != 55654;",1588636
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id >= 56907;",862044
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id != 117429 AND kind_id = 2;",312380
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id = 67203 AND kind_id < 6;",1
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id <= 19041;",5316907
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id <= 8 AND keyword_id = 200465;",1
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id > 6002 AND kind_id > 1;",1858215
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id = 89313;",22
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id <= 26375;",5705554
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id = 80812 AND kind_id = 1;",2
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id < 7 AND keyword_id <= 200492;",5787602
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id = 150280;",1
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id <= 221734 AND kind_id > 6;",1588637
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id = 148730;",12
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id >= 1 AND keyword_id < 21419;",5440508
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id >= 4 AND keyword_id <= 26168;",1902607
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id <= 126960 AND kind_id < 4;",4595975
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id > 220345;",17676
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id < 90039;",6927702
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id > 162562 AND kind_id != 7;",121003
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id < 194829;",7367663
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id > 228477 AND kind_id < 2;",7293
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id < 2 AND keyword_id > 203286;",33235
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id < 3 AND keyword_id >= 182048;",62209
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id >= 6 AND keyword_id = 123621;",1
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id >= 222921;",14813
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id >= 1 AND keyword_id <= 163949;",7302882
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id = 92377 AND kind_id < 7;",12
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id != 3 AND keyword_id = 57717;",1
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id < 57734;",6568222
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id != 227805;",7419915
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id != 4 AND keyword_id > 39804;",1100955
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id != 39925 AND kind_id >= 2;",3305623
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id > 2 AND keyword_id >= 103043;",145391
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id < 8 AND keyword_id >= 79301;",592961
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id <= 131638 AND kind_id > 2;",2919206
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id != 14594 AND kind_id != 1;",3305609
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id != 89355;",7419911
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id <= 184685 AND kind_id != 4;",6478734
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id != 79927 AND kind_id < 2;",4114291
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id >= 8 AND keyword_id != 200552;",1
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id >= 11377;",2959627
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id >= 3 AND keyword_id != 210128;",2993244
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id <= 27742;",5762386
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id < 3 AND keyword_id > 53896;",506073
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id < 235763 AND kind_id = 4;",876541
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id >= 129398;",278055
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id = 8612 AND kind_id < 6;",260
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id >= 18788 AND kind_id > 1;",1009118
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id >= 20515;",2037663
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id <= 2 AND keyword_id <= 158122;",4312869
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id > 75597;",629372
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id < 82899 AND kind_id <= 2;",4095109
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id != 26687;",7419914
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id >= 18550 AND kind_id > 4;",631637
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id != 85668;",7419915
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id > 36850;",1284922
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id < 161074 AND kind_id <= 2;",4321763
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id < 79454 AND kind_id <= 7;",6839902
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id >= 88025;",509666
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id < 6 AND keyword_id <= 117044;",5419428
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id >= 9296;",3317658
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id != 17231 AND kind_id < 8;",7419895
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id != 44741 AND kind_id > 3;",2606049
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id < 4 AND keyword_id <= 177914;",4739688
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id >= 234826 AND kind_id = 3;",85
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id != 31804 AND kind_id != 3;",7032689
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id >= 79486 AND kind_id <= 1;",336192
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id < 142591 AND kind_id < 4;",4625970
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id < 189695 AND kind_id <= 7;",7359529
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id < 202482 AND kind_id < 2;",4080138
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id < 223585;",7405822
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id < 36845;",6134875
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id = 2 AND keyword_id = 36672;",1
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id < 7 AND keyword_id = 68979;",5
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id <= 221957;",7404041
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id < 8 AND keyword_id != 198838;",7419914
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id < 32441;",5993903
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id < 3 AND keyword_id > 87681;",312797
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id >= 71024;",670658
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id >= 37000 AND kind_id > 4;",404569
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id != 72679 AND kind_id > 6;",1588636
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id != 20889;",7419891
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id != 50119 AND kind_id > 1;",3305623
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id >= 230283;",6720
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id = 228602;",1
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id < 45090;",6347172
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id <= 17523;",5209470
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id <= 38706;",6189549
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id < 81086;",6852612
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id < 94620 AND kind_id > 1;",3121748
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id < 104108 AND kind_id > 2;",2850672
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id = 90888 AND kind_id >= 3;",12
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id < 192826;",7364426
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id > 150116;",175365
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id < 186203;",7353343
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id < 162885 AND kind_id = 1;",4014007
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id = 69586;",1
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id != 126897;",7419915
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id < 184072;",7349789
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id > 1 AND keyword_id = 90352;",3
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id > 147401;",206809
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id < 3 AND keyword_id <= 19153;",3262236
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id > 62921;",785640
